id	songName	storeID	author	levelToUnlock	price	Song Loop	VersionMid	VersionMp3	MidFile	Mp3File	speedBegin	speedIncreaseAfterOneLoop	SongTrackClip	SongTrackSpeed	beginDistanceBySecond	AddStartDistance	typeSong	Category
11	Frozen OST Guitar	beautifulpiano	Light Of Music	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/beautifulpiano.mid	https://elsapiano.s3.us-east-2.amazonaws.com/config/music/Frozen+OST+Guitar.mp3	1	0.25	0;37.75;75.09	1;1.0204081633;1.0416666667	1700	1000	NEW	3
12	Rain On Me	newyear		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/newyear.mid	https://arianapiano.s3.us-east-2.amazonaws.com/config/music/Rain+On+Me.mp3	1	0.25	0;30.0;60	1;1.0204081633;1.0416666667	1500	1000	NEW	2
13	Tell Me	kidtheme		7	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/kidtheme.mid	https://arianapiano.s3.us-east-2.amazonaws.com/config/music/Santa+Tell+Me.mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	1800	1500	NORMAL	2
14	Side To Side	canvaspainting		8	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/canvaspainting.mid	https://arianapiano.s3.us-east-2.amazonaws.com/config/music/Side+To+Side.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	1650	1000	NORMAL	2
38	thank u next	clearday		20	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/clearday.mid	https://arianapiano.s3.us-east-2.amazonaws.com/config/music/thank+u+next.mp3	1	0.25	0;39.0;62.0	1;1.05263158;1.111111111111	1900	1000	NORMAL	2
39	The Way	classicguitar		21	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/classicguitar.mid	https://arianapiano.s3.us-east-2.amazonaws.com/config/music/The+Way.mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	1900	1500	NORMAL	2
40	7 rings guitar	believeinhappiness	Serginxs	-1	10	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/believeinhappiness.mid	https://arianapiano.s3.us-east-2.amazonaws.com/config/music/7+rings+guitar.mp3	1	0.25	0;48.63;83.95	1;1.0204081633;1.0416666667	2250	1000	NEW	3
41	God is a Woman (guitar)	childishstory	Actual Sound	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/childishstory.mid	https://arianapiano.s3.us-east-2.amazonaws.com/config/music/God+is+a+Woman+guitar.mp3	1	0.25	0;42.8;87	1;1.0204081633;1.0416666667	2300	1000	NEW	3
42	One Last Time (Guitar)	romantic	Praded	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/romantic.mid	https://arianapiano.s3.us-east-2.amazonaws.com/config/music/One+Last+Time+Guitar.mp3	1	0.25	0;46;69.55	1;1.0204081633;1.0416666667	2700	1000	NEW	3
43	Positions (Guitar) 	inlove		22	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/inlove.mid	https://arianapiano.s3.us-east-2.amazonaws.com/config/music/Positions+Guitar.mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	2000	1500	NORMAL	3
44	stuck withu (guitar)	littleidea		23	0	1	0	0	https://raw.githubusercontent.com/miodevs/cf/master/s/littleidea.mid	https://arianapiano.s3.us-east-2.amazonaws.com/config/music/stuck+withu+guitar.mp3	1	0.25	0;55.0;78.5	1;1.11111111111;1.25	2000	1500	NORMAL	3
